Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Cameroon,CMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,65.3638,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,53.75501706,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,46.24498294,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,Urban population growth (annual %),SP.URB.GROW,2000,3.803865204,Sub-Saharan Africa,Lower middle income
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,2000,3.42261134,North America,High income
Canada,CAN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,42.04664839,North America,High income
Canada,CAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.25,North America,High income
Canada,CAN,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,21.37070045,North America,High income
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,78.62929955,North America,High income
Canada,CAN,Urban population growth (annual %),SP.URB.GROW,2000,1.167310887,North America,High income
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,2000,165.3083333,Latin America & Caribbean,High income
Cayman Islands,CYM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Latin America & Caribbean,High income
Cayman Islands,CYM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,Latin America & Caribbean,High income
Cayman Islands,CYM,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,0,Latin America & Caribbean,High income
Cayman Islands,CYM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,100,Latin America & Caribbean,High income
Cayman Islands,CYM,Urban population growth (annual %),SP.URB.GROW,2000,3.566400697,Latin America & Caribbean,High income
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,2000,6.153353238,Sub-Saharan Africa,Low income
