Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
OECD members,OED,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,6.04643351,,
OECD members,OED,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,24.39694613,,
OECD members,OED,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,75.60305387,,
OECD members,OED,Urban population growth (annual %),SP.URB.GROW,2000,1.071117362,,
Other small states,OSS,Population density (people per sq. km of land area),EN.POP.DNST,2000,37.32820026,,
Other small states,OSS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
Other small states,OSS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,31.68604957,,
Other small states,OSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,48.46465714,,
Other small states,OSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,51.53534286,,
Other small states,OSS,Urban population growth (annual %),SP.URB.GROW,2000,1.150514171,,
Pacific island small states,PSS,Population density (people per sq. km of land area),EN.POP.DNST,2000,31.8111215,,
Pacific island small states,PSS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
Pacific island small states,PSS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,4.342772583,,
Pacific island small states,PSS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,65.56155524,,
Pacific island small states,PSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,34.43844476,,
Pacific island small states,PSS,Urban population growth (annual %),SP.URB.GROW,2000,2.082013828,,
Post-demographic dividend,PST,Population density (people per sq. km of land area),EN.POP.DNST,2000,32.57789304,,
Post-demographic dividend,PST,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,34.45713488,,
Post-demographic dividend,PST,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.666367885,,
Post-demographic dividend,PST,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,23.17200304,,
Post-demographic dividend,PST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,76.82799696,,
Post-demographic dividend,PST,Urban population growth (annual %),SP.URB.GROW,2000,0.789176173,,
Pre-demographic dividend,PRE,Population density (people per sq. km of land area),EN.POP.DNST,2000,31.59307011,,
Pre-demographic dividend,PRE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,13.54029813,,
Pre-demographic dividend,PRE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,64.5250336,,
Pre-demographic dividend,PRE,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,66.47439832,,
Pre-demographic dividend,PRE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,33.52560168,,
Pre-demographic dividend,PRE,Urban population growth (annual %),SP.URB.GROW,2000,4.160696192,,
Small states,SST,Population density (people per sq. km of land area),EN.POP.DNST,2000,21.77635874,,
Small states,SST,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
Small states,SST,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,25.06656932,,
Small states,SST,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,50.70381282,,
Small states,SST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,49.29618718,,
Small states,SST,Urban population growth (annual %),SP.URB.GROW,2000,1.139089765,,
South Asia,SAS,Population density (people per sq. km of land area),EN.POP.DNST,2000,369.3620226,,
South Asia,SAS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,11.94859009,,
South Asia,SAS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
South Asia,SAS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,72.95881495,,
South Asia,SAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,27.04118505,,
South Asia,SAS,Urban population growth (annual %),SP.URB.GROW,2000,2.887841842,,
South Asia (IDA & IBRD),TSA,Population density (people per sq. km of land area),EN.POP.DNST,2000,369.3620226,,
South Asia (IDA & IBRD),TSA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,11.94859009,,
South Asia (IDA & IBRD),TSA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
South Asia (IDA & IBRD),TSA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,72.95881495,,
